Name|Language|PlantKeys
Bryant's Penstemon|English|PL0054
Bryant's Beardtongue|English|PL0054
Penstemon buckleyi|Latin|PL0055
Penstemon amplexicaulis|Latin|PL0055
Buckley's Penstemon|English|PL0055
Buckley's Beardtongue|English|PL0055
Penstemon caesius|Latin|PL0056
San Bernardino Penstemon|English|PL0056
San Bernardino Beardtongue|English|PL0056
Penstemon caespitosus caespitosus|Latin|PL0057
Mat Penstemon|English|PL0057,PL0058,PL0059
Mat Beardtongue|Latin|PL0057,PL0058,PL0059
Penstemon caespitosus desertipicti|Latin|PL0058
Penstemon desertipicti|Latin|PL0058
Penstemon caespitosus perbrevis|Latin|PL0059
Penstemon caespitosus suffruticosus|Latin|PL0060
Penstemon tusharensis|Latin|PL0060
Tushar Beardtongue|English|PL0060
Tushar Range Beardtongue|English|PL0060
Tushar Penstemon|English|PL0060
Tushar Range Penstemon|English|PL0060
Penstemon calcareus|Latin|PL0061
Limestone Penstemon|English|PL0061
Limestone Beardtongue|English|PL0061
Penstemon californicus|Latin|PL0062
California Beardtongue|English|PL0062
California Penstemon|English|PL0062
San Jacinto Penstemon|English|PL0062,PL0074
San Jacinto Beardtongue|English|PL0062,PL0074
Penstemon calycosus|Latin|PL0063
Penstemon laevigatus calycosus|Latin|PL0063
Longsepal Penstemon|English|PL0063
Long-sepal Penstemon|English|PL0063
Long Sepal Penstemon|English|PL0063
Longsepal Beardtongue|English|PL0063
Long-sepal Beardtongue|English|PL0063
Long Sepal Beardtongue|English|PL0063
Penstemon canescens|Latin|PL0064
Penstemon brittoniorum|Latin|PL0064
Penstemon canescens brittoniorum|Latin|PL0064
Penstemon canescens typicus|Latin|PL0064
Eastern Gray Penstemon|English|PL0064
Eastern Gray Beardtongue|English|PL0064
Penstemon cardinalis cardinalis|Latin|PL0065
Cardinal Penstemon|English|PL0065,PL0066
Cardinal Beardtongue|English|PL0065,PL0066
Penstemon cardinalis regalis|Latin|PL0066
Penstemon regalis|Latin|PL0066
Penstemon cardwellii|Latin|PL0067
Cardwell's Penstemon|English|PL0067
Cardwell's Beardtongue|English|PL0067
Penstemon carnosus|Latin|PL0068
Fleshy Beardtongue|English|PL0068
Penstemon caryi|Latin|PL0069
Cary's Penstemon|English|PL0069
Cary's Beardtongue|English|PL0069
Penstemon centranthifolius|Latin|PL0070
Chelone centranthifolia|Latin|PL0070
Scarlet Bugler|English|PL0070
Penstemon cinicola|Latin|PL0071
Ash Beardtongue|English|PL0071
Ash Penstemon|English|PL0071
Penstemon cleburnei|Latin|PL0072,PL0121
Cleburne’s Penstemon|English|PL0072,PL0121
Cleburne’s Beardtongue|English|PL0072,PL0121
Penstemon clevelandii clevelandii|Latin|PL0073
Cleveland's Beardtongue|English|PL0073,PL0075
Cleveland's Penstemon|English|PL0073,PL0075
Penstemon clevelandii connatus|Latin|PL0074
Penstemon clevelandii mohavensis|Latin|PL0075
Mojave Penstemon|English|PL0075,PL0179,PL0277
Mojave Beardtongue|English|PL0075,PL0179,PL0277
Mohave Penstemon|English|PL0075,PL0179,PL0277
Mohave Beardtongue|English|PL0075,PL0179,PL0277
Penstemon clutei|Latin|PL0076
Sunset Crater Beardtongue|English|PL0076
Sunset Crater Penstemon|English|PL0076
Penstemon cobaea cobaea|Latin|PL0077
Penstemon cobaea typicus|Latin|PL0077
Prairie Penstemon|English|PL0077
Foxglove Penstemon|English|PL0077,PL0078,PL0108
Foxglove Beardtongue|English|PL0077,PL0078,PL0108
False Foxglove|English|PL0077
Large-flowered Penstemon|English|PL0077,PL0158
Large-flowered Beardtongue|English|PL0077,PL0158
Cobaea Penstemon|English|PL0077
Wild Foxglove|English|PL0077
Penstemon cobaea purpureus|Latin|PL0078
Penstemon comarrhenus|Latin|PL0079
Dusty Penstemon|English|PL0079
Dusty Beardtongue|English|PL0079
Hairy Penstemon|English|PL0079,PL0173
Hairy Beardtongue|English|PL0079,PL0173
Penstemon compactus|Latin|PL0080
Penstemon cyananthus compactus|Latin|PL0080
Bear River Range Penstemon|English|PL0080
Bear River Range Beardtongue|English|PL0080
Cache Penstemon|English|PL0080
Cache Beardtongue|English|PL0080
Compact Penstemon|English|PL0080
Compact Beardtongue|English|PL0080
Penstemon concinnus|Latin|PL0081
Tunnel Springs Penstemon|English|PL0081
Tunnel Springs Beardtongue|English|PL0081
Penstemon confertus|Latin|PL0082
Yellow Penstemon|English|PL0082
Yellow Beardtongue|English|PL0082 
Scorched Penstemon|English|PL0082
Scorched Beardtongue|English|PL0082
Penstemon confusus|Latin|PL0083
Owens Valley Penstemon|English|PL0083
Owens Valley Beardtongue|English|PL0083
Penstemon crandallii atratus|Latin|PL0084
Crandall's Penstemon|English|PL0084,PL0085,PL0086,PL0087,PL0088,PL0089
Crandall's Beardtongue|English|PL0084,PL0085,PL0086,PL0087,PL0088,PL0089
Penstemon crandallii crandallii|Latin|PL0085
Penstemon suffrutescens|Latin|PL0085
Penstemon crandallii glabrescens|Latin|PL0086
Penstemon glabrescens|Latin|PL0086
Penstemon coloradoensis glabrescens|Latin|PL0086
Penstemon crandallii procumbens|Latin|PL0087
Penstemon procumbens|Latin|PL0087
Penstemoni crandallii ramaleyi|Latin|PL0088
Penstemon ramaleyi|Latin|PL0088
Penstemon crandallii taosensis|Latin|PL0089
Penstemon linarioides taosensis|Latin|PL0089
Taos Penstemon|English|PL0089
Taos Beardtongue|English|PL0089
Penstemon cusickii|Latin|PL0090
Cusick's Beardtongue|English|PL0090
Cusick’s Penstemon|English|PL0090
Basalt Penstemon|English|PL0090
Basalt Beardtongue|English|PL0090
Penstemon cyananthus cyananthus|Latin|PL0091
Wasatch Beardtongue|English|PL0091,PL0092
Wasatch Penstemon|English|PL0091,PL0092
Penstemon cyananthus subglaber|Latin|PL0092
Penstemon fremontii subglaber|Latin|PL0092
Penstemon holmgrenii|Latin|PL0092
Penstemon cyaneus|Latin|PL0093
Blue Penstemon|English|PL0093,PL0144
Blue Beardtongue|English|PL0093,PL0144
Dark Blue Penstemon|English|PL0093
Dark Blue Beardtongue|English|PL0093
Penstemon cyanocaulis|Latin|PL0094
Bluestem Beardtongue|English|PL0094
Blue-stem Beardtongue|English|PL0094
Blue Stem Beardtongue|English|PL0094
Bluestem Penstemon|English|PL0094
Blue-stem Penstemon|English|PL0094
Blue Stem Penstemon|English|PL0094
Penstemon cyathophorus|Latin|PL0095
Middle Park Penstemon|English|PL0095
Middle Park Beardtongue|English|PL0095
Northpark Penstemon|English|PL0095
Northpark Beardtongue|English|PL0095
Sagebrush Beardtongue|English|PL0095
Sagebrush Penstemon|English|PL0095
Penstemon dasyphyllus|Latin|PL0096
Cochise Penstemon|English|PL0096
Cochise Beardtongue|English|PL0096
Penstemon davidsonii davidsonii|Latin|PL0097
Penstemon menziesii thompsonii|Latin|PL0097
Creeping Penstemon|English|PL0097,PL0098
Creeping Beardtongue|English|PL0097,PL0098
Davidson's Beardtongue|English|PL0097
Davidson's Penstemon|English|PL0097
Penstemon davidsonii menziesii|Latin|PL0098
Penstemon menziesii davidsonii|Latin|PL0098
Penstemon menziesii|Latin|PL0098
Menzies' Penstemon|English|PL0098
Menzies' Beardtongue|English|PL0098
Pride of the Mountains|English|PL0098
Penstemon davidsonii praeteritus|Latin|PL0099
Timberline Penstemon|English|PL0099
Timberline Beardtongue|English|PL0099
Penstemon deamii|Latin|PL0100
Penstemon laevigatus deamii|Latin|PL0100
Deam's Penstemon|English|PL0100
Deam's Beardtongue|English|PL0100
Penstemon deaveri|Latin|PL0101
Penstemon virgatus arizonicus|Latin|PL0101
Deaver’s Penstemon|English|PL0101
Deaver’s Beardtongue|English|PL0101
Mt. Graham Penstemon|English|PL0101
Mt. Graham Beardtongue|English|PL0101
Penstemon debilis|Latin|PL0102
Parachute Penstemon|English|PL0102
Parachute Beardtongue|English|PL0102
Penstemon degeneri|Latin|PL0103
Degener's Penstemon|English|PL0103
Degener's Beardtongue|English|PL0103
Penstemon deustus deustus|Latin|PL0104
Scabland Penstemon|English|PL0104,PL0105,PL0106,PL0107
Scabland Beardtongue|English|PL0104,PL0105,PL0106,PL0107
Hot-rock Penstemon|English|PL0104,PL0105,PL0106,PL0107
Hot-rock Beardtongue|English|PL0104,PL0105,PL0106,PL0107
Penstemon deustus pedicellatus|Latin|PL0105
Penstemon deustus heterander|Latin|PL0105
Penstemon deustus suffrutescens|Latin|PL0106
Penstemon deustus variabilis|Latin|PL0107
Penstemon variabilis|Latin|PL0107
Penstemon digitalis|Latin|PL0108
Penstemon laevigatus digitalis|Latin|PL0108
Penstemon laevigatus angulatus|Latin|PL0108
Mississippi Penstemon|English|PL0108
Mississippi Beardtongue|English|PL0108
Smooth White Penstemon|English|PL0108
Smooth White Beardtongue|English|PL0108
Talus Slope Penstemon|English|PL0108
Talus Slope Beardtongue|English|PL0108
Penstemon diphyllus|Latin|PL0109
Penstemon triphyllus diphyllus|Latin|PL0109
Two-leaf Penstemon|English|PL0109
Two-leaf Beardtongue|English|PL0109
Penstemon dissectus|Latin|PL0111
Dissected Penstemon|English|PL0111
Dissected Beardtongue|English|PL0111
Penstemon distans|Latin|PL0112
Mount Trumbull Penstemon|English|PL0112
Mount Trumbull Beardtongue|English|PL0112
Penstemon dolius|Latin|PL0113
Jones's Beardtongue|English|PL0113,PL0213
Jones’s Penstemon|English|PL0113,PL0213
Penstemon duchesnensis|Latin|PL0114
Penstemon dolius duchesnensis|Latin|PL0114
Duchesne Beardtongue|English|PL0114
Duchesne Penstemon|English|PL0114
Penstemon eatonii eatonii|Latin|PL0115
Firecracker Penstemon|English|PL0115,PL0116,PL0117
Firecracker Beardtongue|English|PL0115,PL0116,PL0117
Eaton's Penstemon|English|PL0115,PL0116,PL0117
Eaton's Beardtongue|English|PL0115,PL0116,PL0117
Eaton’s Firecracker|English|PL0115,PL0116,PL0117
Penstemon eatonii exsertus|Latin|PL0116
Penstemon eatonii undosus|Latin|PL0117
Penstemon elegantulus|Latin|PL0118
Rockvine Penstemon|English|PL0118
Rockvine Beardtongue|English|PL0118
Penstemon ellipticus|Latin|PL0119
Penstemon davidsonii ellipticus|Latin|PL0119
Rocky Ledge Penstemon|English|PL0119
Rocky Ledge Beardtongue|English|PL0119
Penstemon eriantherus argillosus|Latin|PL0120
Penstemon whitedii dayanus|Latin|PL0120
Fuzzy-tongue Beardtongue|English|PL0120,PL0122
Fuzzy-tongue Penstemon|English|PL0120,PL0122
Penstemon eriantherus cleburnei|Latin|PL0121
Penstemon eriantherus eriantherus|Latin|PL0122
Penstemon eriantherus redactus|Latin|PL0123
Penstemon whitedii tristis|Latin|PL0123
Longsac Penstemon|English|PL0123
Longsac Beardtongue|English|PL0123
Furry Tongued Penstemon|English|PL0123
Penstemon eriantherus whitedii|Latin|PL0124
Penstemon whitedii|Latin|PL0124
Whited's Fuzzy-tongue Penstemon|English|PL0124
Whited's Penstemon|English|PL0124
Whited’s Beardtongue|English|PL0124
Penstemon euglaucus|Latin|PL0125
Glaucous Penstemon|English|PL0125
Glaucous Beardtongue|English|PL0125
Penstemon fendleri|Latin|PL0126
Fendler's Penstemon|English|PL0126
Fendler's Beardtongue|English|PL0126
Penstemon filiformis|Latin|PL0127
Threadleaf Penstemon|English|PL0127
Thread-leaf Penstemon|English|PL0127
Thread Leaf Penstemon|English|PL0127
Threadleaf Beardtongue|English|PL0127
Thread-leaf Beardtongue|English|PL0127
Thread Leaf Beardtongue|English|PL0127
Penstemon flavescens|Latin|PL0128
Greater Yellow Penstemon|English|PL0128
Greater Yellow Beardtongue|English|PL0128
High Mountain Penstemon|English|PL0128
Tall Yellow Penstemon|English|PL0128
Tall Yellow Beardtongue|English|PL0128
Penstemon floribundus|Latin|PL0129
Cordelia Penstemon|English|PL0129
Cordelia Beardtongue|English|PL0129
Cordillia's Penstemon|English|PL0129
Cordillia's Beardtongue|English|PL0129
