Name|Language|PlantIDs
Davidson's Beardtongue|English|PL0097
Davidson's Penstemon|English|PL0097
Penstemon menziesii davidsonii|Latin|PL0098
Penstemon menziesii|Latin|PL0098
Menzies's Penstemon|English|PL0098
Menzies's Beardtongue|English|PL0098
Pride of the Mountains|English|PL0098
Timberline Penstemon|English|PL0099
Timberline Beardtongue|English|PL0099
Penstemon laevigatus deamii|Latin|PL0100
Deam's Penstemon|English|PL0100
Deam's Beardtongue|English|PL0100
Penstemon virgatus arizonicus|Latin|PL0101
Deaver’s Penstemon|English|PL0101
Deaver’s Beardtongue|English|PL0101
Mount Graham Penstemon|English|PL0101
Mount Graham Beardtongue|English|PL0101
Parachute Penstemon|English|PL0102
Parachute Beardtongue|English|PL0102
Degener's Penstemon|English|PL0103
Degener's Beardtongue|English|PL0103
Scabland Penstemon|English|PL0104,PL0105,PL0106,PL0107
Scabland Beardtongue|English|PL0104,PL0105,PL0106,PL0107
Hot-rock Penstemon|English|PL0104,PL0105,PL0106,PL0107
Hot-rock Beardtongue|English|PL0104,PL0105,PL0106,PL0107
Penstemon deustus heterander|Latin|PL0105
Penstemon variabilis|Latin|PL0107
Penstemon laevigatus digitalis|Latin|PL0108
Penstemon laevigatus angulatus|Latin|PL0108
Mississippi Penstemon|English|PL0108
Mississippi Beardtongue|English|PL0108
Smooth White Penstemon|English|PL0108
Smooth White Beardtongue|English|PL0108
Talus Slope Penstemon|English|PL0108
Talus Slope Beardtongue|English|PL0108
Penstemon triphyllus diphyllus|Latin|PL0109
Two-leaf Penstemon|English|PL0109
Two-leaf Beardtongue|English|PL0109
Variegated Penstemon|English|PL0110
Variegated Beardtongue|English|PL0110
Catalina Penstemon|English|PL0110
Catalina Beardtongue|English|PL0110
Dissected Penstemon|English|PL0111
Dissected Beardtongue|English|PL0111
Mount Trumbull Penstemon|English|PL0112
Mount Trumbull Beardtongue|English|PL0112
Jones's Beardtongue|English|PL0113,PL0213
Jones’s Penstemon|English|PL0113,PL0213
Penstemon dolius duchesnensis|Latin|PL0114
Duchesne Beardtongue|English|PL0114
Duchesne Penstemon|English|PL0114
Firecracker Penstemon|English|PL0115,PL0116,PL0117
Firecracker Beardtongue|English|PL0115,PL0116,PL0117
Eaton's Penstemon|English|PL0115,PL0116,PL0117
Eaton's Beardtongue|English|PL0115,PL0116,PL0117
Eaton’s Firecracker|English|PL0115,PL0116,PL0117
Rockvine Penstemon|English|PL0118
Rockvine Beardtongue|English|PL0118
Penstemon davidsonii ellipticus|Latin|PL0119
Rocky Ledge Penstemon|English|PL0119
Rocky Ledge Beardtongue|English|PL0119
Penstemon whitedii dayanus|Latin|PL0120
Fuzzy-tongue Beardtongue|English|PL0120,PL0122
Fuzzy-tongue Penstemon|English|PL0120,PL0122
Penstemon whitedii tristis|Latin|PL0123
Longsac Penstemon|English|PL0123
Longsac Beardtongue|English|PL0123
Furry Tongued Penstemon|English|PL0123
Penstemon whitedii|Latin|PL0124
Whited's Fuzzy-tongue Penstemon|English|PL0124
Whited's Penstemon|English|PL0124
Whited’s Beardtongue|English|PL0124
Glaucous Penstemon|English|PL0125
Glaucous Beardtongue|English|PL0125
Fendler's Penstemon|English|PL0126
Fendler's Beardtongue|English|PL0126
Thread-leaf Penstemon|English|PL0127
Thread-leaf Beardtongue|English|PL0127
Greater Yellow Penstemon|English|PL0128
Greater Yellow Beardtongue|English|PL0128
High Mountain Penstemon|English|PL0128
Tall Yellow Penstemon|English|PL0128
Tall Yellow Beardtongue|English|PL0128
Cordelia Penstemon|English|PL0129
